
// punkty
points_count 654
-0.02671728 -0.3702288 -1
1.973283 -0.3702288 -1
1.973283 -0.3702288 1
-0.02671728 -0.3702288 1
-0.02671728 1.629771 -1
1.973283 1.629771 -1
1.973283 1.629771 1
-0.02671728 1.629771 1
0.9732826 1.629771 0
0.9732826 1.629771 0
0.9732826 0.6297711 -1
0.9732826 0.6297711 -1
1.973283 0.6297711 0
1.973283 0.6297711 0
0.9732826 0.6297711 1
0.9732826 0.6297711 1
-0.02671728 0.6297711 0
-0.02671728 0.6297711 0
0.9732826 -0.3702288 0
0.9732826 -0.3702288 0
0.9732826 1.629771 -1
-0.02671728 1.629771 0
0.9732826 1.629771 1
1.973283 1.629771 0
0.9732826 -0.3702288 -1
-0.02671728 0.6297711 -1
0.9732826 1.629771 -1
1.973283 0.6297711 -1
1.973283 -0.3702288 0
1.973283 0.6297711 -1
1.973283 1.629771 0
1.973283 0.6297711 1
0.9732826 -0.3702288 1
1.973283 0.6297711 1
0.9732826 1.629771 1
-0.02671728 0.6297711 1
-0.02671728 -0.3702288 0
-0.02671728 0.6297711 1
-0.02671728 1.629771 0
-0.02671728 0.6297711 -1
0.9732826 -0.3702288 -1
1.973283 -0.3702288 0
0.9732826 -0.3702288 1
-0.02671728 -0.3702288 0
0.4732825 1.629771 -0.5
1.473283 1.629771 -0.5
0.4732825 1.629771 0.5
0.4732825 1.629771 -0.5
1.473283 1.629771 0.5
0.4732825 1.629771 0.5
1.473283 1.629771 -0.5
1.473283 1.629771 0.5
0.4732825 0.129771 -1
1.473283 0.129771 -1
0.4732825 1.129771 -1
0.4732825 0.129771 -1
1.473283 1.129771 -1
0.4732825 1.129771 -1
1.473283 0.129771 -1
1.473283 1.129771 -1
1.973283 0.129771 -0.5
1.973283 0.129771 0.5
1.973283 1.129771 -0.5
1.973283 0.129771 -0.5
1.973283 1.129771 0.5
1.973283 1.129771 -0.5
1.973283 0.129771 0.5
1.973283 1.129771 0.5
1.473283 0.129771 1
0.4732825 0.129771 1
1.473283 1.129771 1
1.473283 0.129771 1
0.4732825 1.129771 1
1.473283 1.129771 1
0.4732825 0.129771 1
0.4732825 1.129771 1
-0.02671728 0.129771 0.5
-0.02671728 0.129771 -0.5
-0.02671728 1.129771 0.5
-0.02671728 0.129771 0.5
-0.02671728 1.129771 -0.5
-0.02671728 1.129771 0.5
-0.02671728 0.129771 -0.5
-0.02671728 1.129771 -0.5
1.473283 -0.3702288 -0.5
0.4732825 -0.3702288 -0.5
1.473283 -0.3702288 0.5
1.473283 -0.3702288 -0.5
0.4732825 -0.3702288 0.5
1.473283 -0.3702288 0.5
0.4732825 -0.3702288 -0.5
0.4732825 -0.3702288 0.5
0.9732826 1.629771 -0.5
0.4732825 1.629771 -1
1.473283 1.629771 -1
0.9732826 1.629771 -0.5
0.4732825 1.629771 0
-0.02671728 1.629771 0.5
-0.02671728 1.629771 -0.5
0.4732825 1.629771 0
0.9732826 1.629771 0.5
1.473283 1.629771 1
0.4732825 1.629771 1
0.9732826 1.629771 0.5
1.473283 1.629771 0
1.973283 1.629771 -0.5
1.973283 1.629771 0.5
1.473283 1.629771 0
0.9732826 0.129771 -1
0.4732825 -0.3702288 -1
1.473283 -0.3702288 -1
0.9732826 0.129771 -1
0.4732825 0.6297711 -1
-0.02671728 1.129771 -1
-0.02671728 0.129771 -1
0.4732825 0.6297711 -1
0.9732826 1.129771 -1
1.473283 1.629771 -1
0.4732825 1.629771 -1
0.9732826 1.129771 -1
1.473283 0.6297711 -1
1.973283 0.129771 -1
